timestamp,action,confidence,accuracy,f1,precision,recall,cpu,dram,time
1695569817.280774,retraining,-1,0.488,0.0,0.0,0.0,7144812520.0,479464349.0,196887844.715
1695569903.7060246,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,3825307.0,157348.0,107324.362
1695569904.6939785,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,3138725.0,140930.0,87908.939
1695569905.6919036,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,3091728.0,138245.0,81067.545
1695569906.682128,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2908318.0,134277.0,80511.207
1695569907.6845126,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2952446.0,135986.0,80255.13
1695569908.6909003,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2890190.0,136596.0,78861.636
1695569909.7047832,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,3104118.0,137390.0,80676.744
1695569910.7051885,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2866631.0,131286.0,78713.758
1695569911.7108705,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2947075.0,135071.0,79187.728
1695569912.7276936,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2932426.0,133972.0,79648.753
1695569913.7264166,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2913323.0,133240.0,78791.942
1695569914.7596,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2936577.0,134644.0,81919.105
1695569915.7551687,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2791558.0,131164.0,78449.536
1695569916.7576234,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2883233.0,132202.0,78210.169
1695569917.757623,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2804253.0,131347.0,78020.367
1695569918.8235846,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2868217.0,132812.0,78387.113
1695569919.7847714,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2889824.0,132446.0,78366.38
1695569920.772492,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2886894.0,130981.0,79643.243
1695569921.7778604,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2820183.0,131653.0,77974.065
1695569922.7994163,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2776238.0,131347.0,78540.944
1695569923.7910461,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2844658.0,130432.0,77922.067
1695569924.8024309,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2883660.0,133361.0,79781.244
1695569925.807269,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2812065.0,131469.0,79222.61
1695569926.8176005,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2891166.0,131897.0,80481.767
1695569927.8373988,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2903923.0,133117.0,80705.043
1695569928.8539448,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,3032585.0,136719.0,84750.158
1695569929.8538806,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2963127.0,134765.0,82903.863
1695569930.9384844,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2955315.0,134826.0,79784.727
1695569931.8714075,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2894951.0,132507.0,79305.768
1695569932.87008,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2835747.0,132019.0,78366.768
1695569934.0286121,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2973320.0,137389.0,80313.557
1695569934.8675237,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2884636.0,132568.0,78663.329
1695569935.8788075,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2901909.0,132019.0,79262.936
1695569936.9874413,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2875542.0,132996.0,79262.031
1695569937.8918748,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2808343.0,131591.0,77823.149
1695569938.8964653,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2868218.0,131714.0,79984.583
1695569939.9062357,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,3080864.0,137573.0,83084.54
1695569940.9074516,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2881706.0,131836.0,78410.099
1695569941.9178698,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2804985.0,130859.0,78450.899
1695569942.9266846,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2903008.0,133666.0,79509.67
1695569943.9460332,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2905388.0,133606.0,79557.617
1695569944.9362957,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2852593.0,132568.0,78336.836
1695569945.944145,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2921074.0,134887.0,79123.694
1695569946.958295,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2873100.0,131836.0,78997.883
1695569947.9781408,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2812431.0,132873.0,77984.391
1695569949.0042825,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2899101.0,134155.0,78599.201
1695569949.9772115,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2979790.0,136108.0,82676.55
1695569950.9953597,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,3149040.0,140625.0,83061.734
1695569951.9981592,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2933098.0,135437.0,80780.075
1695569952.9911783,inference,"[[0.5222806279356689, 0.477719372064331]]",1.0,0.0,0.0,0.0,2890618.0,132507.0,79319.8
1695569953.9984648,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2855034.0,133178.0,78764.9
1695569955.0159073,inference,"[[0.5222806279356689, 0.477719372064331]]",0.0,0.0,0.0,0.0,2917534.0,134704.0,78898.069
