timestamp,action,confidence,accuracy,f1,precision,recall,cpu,dram,time
1696159596.215172,retraining,-1,0.488,0.0,0.0,0.0,7174795414.0,483830976.0,198046124.369
1696160582.1230938,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,9561743.0,389770.0,328205.129
1696160586.7991781,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2976677.0,133911.0,85940.964
1696160591.7942507,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2729546.0,127258.0,78600.956
1696160596.7947452,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,5096544.0,175537.0,96051.037
1696160601.7825823,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2755181.0,126770.0,79775.368
1696160606.7989194,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2663872.0,124939.0,77655.918
1696160611.8039384,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2744561.0,127929.0,78677.619
1696160616.816348,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2657586.0,124023.0,77607.22
1696160621.8172765,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2714043.0,124512.0,78341.163
1696160626.854651,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,3152763.0,143005.0,85055.623
1696160631.8659527,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2893181.0,132812.0,82018.566
1696160636.872214,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2657830.0,125121.0,77724.756
1696160641.8818367,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2713250.0,125305.0,78339.763
1696160646.8811765,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2714715.0,125488.0,78189.229
1696160651.8779247,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2697686.0,123595.0,78136.448
1696160656.8897269,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2793694.0,126708.0,81145.182
1696160661.8950963,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2656670.0,125121.0,78190.472
1696160666.908622,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2717644.0,126587.0,78237.435
1696160671.920054,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2658868.0,127624.0,78179.147
1696160676.9348702,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2721734.0,128051.0,78955.403
1696160681.939226,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2747308.0,127197.0,79639.644
1696160686.9467907,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2795586.0,131164.0,81189.342
1696160691.9541445,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2733880.0,127197.0,78846.05
1696160696.9614022,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2701592.0,127075.0,78651.873
1696160701.9762964,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2791069.0,129089.0,80804.371
1696160707.0083723,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2820672.0,129272.0,80866.086
1696160711.9915357,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2745843.0,128967.0,79632.099
1696160717.000759,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2846245.0,130188.0,81574.032
1696160722.0287719,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2732232.0,128296.0,79005.736
1696160727.0423772,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2720574.0,127929.0,79890.952
1696160732.0553195,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2701776.0,126160.0,78525.138
1696160737.0344157,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2765862.0,128052.0,78879.401
1696160742.0922387,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,3030754.0,138916.0,83752.398
1696160747.1022787,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2665398.0,125305.0,78459.078
1696160752.0690966,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2974785.0,137878.0,80419.577
1696160757.0897474,inference,"[[0.5232480406647568, 0.47675195933524334]]",0.0,0.0,0.0,0.0,2769829.0,129944.0,78505.214
1696160762.0865822,inference,"[[0.5232480406647568, 0.47675195933524334]]",1.0,0.0,0.0,0.0,2846550.0,130310.0,78812.505
